roll=-165.46 pitch=47.75 yaw=2.05
roll=-165.46 pitch=47.75 yaw=2.05
roll=-165.46 pitch=47.75 yaw=2.06
roll=-165.46 pitch=47.75 yaw=2.06
roll=-165.46 pitch=47.75 yaw=2.05
roll=-165.47 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.74 yaw=2.06
roll=-165.49 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.74 yaw=2.07
roll=-165.48 pitch=47.74 yaw=2.06
roll=-165.48 pitch=47.75 yaw=2.06
roll=-165.48 pitch=47.75 yaw=2.07
roll=-165.49 pitch=47.75 yaw=2.07
roll=-165.49 pitch=47.75 yaw=2.06
roll=-165.49 pitch=47.75 yaw=2.06
roll=-165.49 pitch=47.74 yaw=2.07
roll=-165.5 pitch=47.74 yaw=2.07
roll=-165.5 pitch=47.74 yaw=2.06
roll=-165.5 pitch=47.74 yaw=2.07
roll=-165.51 pitch=47.74 yaw=2.07
roll=-165.51 pitch=47.74 yaw=2.06
roll=-165.51 pitch=47.74 yaw=2.07
roll=-165.51 pitch=47.74 yaw=2.07
roll=-165.51 pitch=47.74 yaw=2.07
roll=-165.51 pitch=47.74 yaw=2.07
roll=-165.5 pitch=47.74 yaw=2.07
roll=-165.5 pitch=47.74 yaw=2.07
roll=-165.5 pitch=47.74 yaw=2.06
roll=-165.5 pitch=47.74 yaw=2.07
roll=-165.5 pitch=47.74 yaw=2.07
roll=-165.49 pitch=47.75 yaw=2.07
roll=-165.49 pitch=47.75 yaw=2.07
roll=-165.49 pitch=47.76 yaw=2.08
roll=-165.49 pitch=47.76 yaw=2.07
roll=-165.48 pitch=47.76 yaw=2.07
roll=-165.48 pitch=47.76 yaw=2.08
roll=-165.48 pitch=47.76 yaw=2.08
roll=-165.48 pitch=47.76 yaw=2.07
roll=-165.48 pitch=47.76 yaw=2.07
roll=-165.48 pitch=47.76 yaw=2.08
roll=-165.49 pitch=47.76 yaw=2.07
roll=-165.48 pitch=47.76 yaw=2.07
roll=-165.49 pitch=47.76 yaw=2.08
roll=-165.49 pitch=47.76 yaw=2.08
roll=-165.49 pitch=47.76 yaw=2.07
roll=-165.49 pitch=47.76 yaw=2.08
roll=-165.5 pitch=47.76 yaw=2.08
roll=-165.49 pitch=47.76 yaw=2.08
roll=-165.49 pitch=47.75 yaw=2.08
roll=-165.49 pitch=47.75 yaw=2.08
roll=-165.49 pitch=47.75 yaw=2.08
roll=-165.49 pitch=47.75 yaw=2.08
roll=-165.48 pitch=47.75 yaw=2.08
roll=-165.48 pitch=47.75 yaw=2.08
roll=-165.47 pitch=47.75 yaw=2.08
roll=-165.47 pitch=47.75 yaw=2.08
roll=-165.47 pitch=47.75 yaw=2.09
roll=-165.47 pitch=47.75 yaw=2.08
roll=-165.47 pitch=47.75 yaw=2.08
roll=-165.46 pitch=47.75 yaw=2.09
roll=-165.47 pitch=47.76 yaw=2.08
roll=-165.46 pitch=47.76 yaw=2.08
roll=-165.46 pitch=47.76 yaw=2.08
roll=-165.46 pitch=47.76 yaw=2.09
roll=-165.46 pitch=47.77 yaw=2.08
roll=-165.46 pitch=47.77 yaw=2.08
roll=-165.46 pitch=47.77 yaw=2.09
roll=-165.46 pitch=47.77 yaw=2.08
roll=-165.46 pitch=47.77 yaw=2.08
roll=-165.46 pitch=47.77 yaw=2.09
roll=-165.46 pitch=47.77 yaw=2.09
roll=-165.45 pitch=47.78 yaw=2.08
roll=-165.45 pitch=47.78 yaw=2.09
roll=-165.45 pitch=47.78 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.08
roll=-165.44 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.44 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.44 pitch=47.79 yaw=2.09
roll=-165.44 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.08
roll=-165.45 pitch=47.79 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.46 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.45 pitch=47.8 yaw=2.1
roll=-165.45 pitch=47.8 yaw=2.09
roll=-165.45 pitch=47.79 yaw=2.1
roll=-165.45 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.79 yaw=2.09
roll=-165.44 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.79 yaw=2.1
roll=-165.44 pitch=47.8 yaw=2.1
roll=-165.43 pitch=47.8 yaw=2.1
roll=-165.44 pitch=47.8 yaw=2.11
roll=-165.44 pitch=47.8 yaw=2.1
roll=-165.43 pitch=47.8 yaw=2.1
roll=-165.43 pitch=47.8 yaw=2.11
roll=-165.43 pitch=47.8 yaw=2.11
roll=-165.43 pitch=47.8 yaw=2.1
roll=-165.43 pitch=47.8 yaw=2.11
roll=-165.44 pitch=47.8 yaw=2.11
roll=-165.44 pitch=47.8 yaw=2.1
roll=-165.44 pitch=47.8 yaw=2.1
roll=-165.44 pitch=47.8 yaw=2.11
roll=-165.44 pitch=47.8 yaw=2.11
roll=-165.44 pitch=47.8 yaw=2.1
roll=-165.44 pitch=47.8 yaw=2.11
roll=-165.44 pitch=47.8 yaw=2.11
roll=-165.43 pitch=47.8 yaw=2.1
roll=-165.43 pitch=47.79 yaw=2.11
roll=-165.43 pitch=47.79 yaw=2.11
roll=-165.43 pitch=47.79 yaw=2.11
roll=-165.43 pitch=47.79 yaw=2.11
roll=-165.43 pitch=47.79 yaw=2.11
roll=-165.43 pitch=47.79 yaw=2.11
roll=-165.42 pitch=47.79 yaw=2.1
roll=-165.42 pitch=47.79 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.41 pitch=47.78 yaw=2.11
roll=-165.41 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.12
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.11
roll=-165.42 pitch=47.78 yaw=2.12
roll=-165.42 pitch=47.77 yaw=2.12
roll=-165.42 pitch=47.77 yaw=2.11
roll=-165.42 pitch=47.77 yaw=2.12
roll=-165.42 pitch=47.77 yaw=2.12
roll=-165.42 pitch=47.77 yaw=2.12
roll=-165.42 pitch=47.77 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.13
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.13
roll=-165.42 pitch=47.76 yaw=2.13
roll=-165.42 pitch=47.76 yaw=2.12
roll=-165.42 pitch=47.76 yaw=2.13
roll=-165.43 pitch=47.77 yaw=2.13
roll=-165.42 pitch=47.77 yaw=2.12
roll=-165.42 pitch=47.77 yaw=2.13
roll=-165.43 pitch=47.77 yaw=2.13
roll=-165.43 pitch=47.77 yaw=2.13
roll=-165.43 pitch=47.77 yaw=2.13
roll=-165.43 pitch=47.77 yaw=2.13
roll=-165.44 pitch=47.77 yaw=2.13
roll=-165.44 pitch=47.78 yaw=2.13
roll=-165.44 pitch=47.78 yaw=2.13
roll=-165.44 pitch=47.78 yaw=2.13
roll=-165.44 pitch=47.79 yaw=2.13
roll=-165.44 pitch=47.79 yaw=2.13
roll=-165.44 pitch=47.79 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.79 yaw=2.13
roll=-165.45 pitch=47.79 yaw=2.14
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.44 pitch=47.8 yaw=2.13
roll=-165.44 pitch=47.8 yaw=2.14
roll=-165.45 pitch=47.8 yaw=2.14
roll=-165.45 pitch=47.8 yaw=2.13
roll=-165.46 pitch=47.79 yaw=2.14
roll=-165.46 pitch=47.79 yaw=2.14
roll=-165.46 pitch=47.79 yaw=2.14
roll=-165.46 pitch=47.79 yaw=2.13
roll=-165.46 pitch=47.79 yaw=2.14
roll=-165.46 pitch=47.79 yaw=2.14
roll=-165.46 pitch=47.79 yaw=2.13
roll=-165.47 pitch=47.79 yaw=2.14
roll=-165.47 pitch=47.79 yaw=2.14
roll=-165.48 pitch=47.79 yaw=2.14
roll=-165.48 pitch=47.79 yaw=2.14
roll=-165.48 pitch=47.79 yaw=2.15
roll=-165.48 pitch=47.79 yaw=2.14
roll=-165.48 pitch=47.79 yaw=2.14
roll=-165.48 pitch=47.79 yaw=2.14
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.48 pitch=47.8 yaw=2.14
roll=-165.48 pitch=47.8 yaw=2.14
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.49 pitch=47.79 yaw=2.14
roll=-165.49 pitch=47.79 yaw=2.14
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.5 pitch=47.79 yaw=2.14
roll=-165.49 pitch=47.79 yaw=2.14
roll=-165.49 pitch=47.78 yaw=2.15
roll=-165.49 pitch=47.78 yaw=2.14
roll=-165.49 pitch=47.78 yaw=2.14
roll=-165.49 pitch=47.78 yaw=2.15
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.49 pitch=47.79 yaw=2.14
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.49 pitch=47.79 yaw=2.15
